Dates;ESTER 1Y;ESTER 2Y;ESTER 3Y;ESTER 4Y;ESTER 5Y;ESTER 6Y;ESTER 7Y;ESTER 8Y;ESTER 9Y;ESTER 10Y;ESTER 11Y;ESTER 12Y;ESTER 15Y;ESTER 20Y;ESTER 25Y;ESTER 30Y;ESTER 40Y;ESTER 50Y;EURIBOR 6M 1Y;EURIBOR 6M 2Y;EURIBOR 6M 3Y;EURIBOR 6M 4Y;EURIBOR 6M 5Y;EURIBOR 6M 6Y;EURIBOR 6M 7Y;EURIBOR 6M 8Y;EURIBOR 6M 9Y;EURIBOR 6M 10Y;EURIBOR 6M 11Y;EURIBOR 6M 12Y;EURIBOR 6M 15Y;EURIBOR 6M 20Y;EURIBOR 6M 25Y;EURIBOR 6M 30Y;EURIBOR 6M 40Y;EURIBOR 6M 50Y
03/01/2023;3.0839;3.0764;2.9306;2.8185;2.763;2.7259;2.7041;2.6992;2.7082;2.7236;2.7457;2.7496;2.7405;2.601;2.4277;2.2751;2.091;1.9342;3.2588;3.3079;3.1824;3.0981;3.0503;3.0183;2.9933;2.9917;2.9908;2.9933;2.999;2.9966;2.9479;2.7369;2.5124;2.3398;2.0652;1.8645
04/01/2023;3.0292;2.9912;2.8365;2.7392;2.6772;2.635;2.6167;2.6196;2.6398;2.6586;2.668;2.6947;2.6972;2.5613;2.3861;2.2418;2.0498;1.9137;3.2329;3.2373;3.0986;2.9958;2.939;2.9068;2.8863;2.8854;2.8913;2.9003;2.909;2.9135;2.8802;2.7005;2.4859;2.3074;2.0385;1.8352
05/01/2023;3.079;3.0414;2.8896;2.7967;2.7296;2.692;2.6689;2.6632;2.6772;2.6875;2.7162;2.7241;2.7216;2.5943;2.4213;2.2782;2.084;1.9327;3.2654;3.2841;3.1408;3.0402;2.9839;2.9513;2.9326;2.9289;2.9324;2.9408;2.9481;2.9543;2.9172;2.7363;2.523;2.3505;2.0636;1.8619
06/01/2023;3.0445;2.9962;2.8493;2.724;2.647;2.6016;2.5786;2.5768;2.5844;2.5953;2.616;2.6277;2.6323;2.5037;2.3455;2.2061;2.0102;1.8593;3.271;3.2581;3.0987;2.983;2.9123;2.8745;2.8556;2.8444;2.8466;2.8534;2.8608;2.8636;2.83;2.6506;2.4441;2.2712;1.9918;1.7901
09/01/2023;3.0757;3.0159;2.8431;2.7362;2.6763;2.6302;2.6072;2.6022;2.6112;2.6262;2.6272;2.6542;2.6584;2.524;2.3672;2.2294;2.0347;1.8925;3.2857;3.2665;3.0927;2.9794;2.9213;2.8864;2.8624;2.8562;2.8585;2.8668;2.8744;2.8765;2.8456;2.6831;2.4637;2.2946;2.0204;1.8045
10/01/2023;3.0963;3.034;2.8672;2.75;2.6916;2.6552;2.6373;2.6399;2.6471;2.6574;2.6716;2.6874;2.6884;2.5633;2.4035;2.2646;2.0687;1.8974;3.3157;3.2848;3.113;3.0127;2.9617;2.9305;2.9112;2.9066;2.9112;2.9193;2.9249;2.9263;2.891;2.7166;2.5065;2.3332;2.0428;1.8335
11/01/2023;3.0217;2.9324;2.7552;2.6261;2.5618;2.5236;2.5045;2.4999;2.5102;2.5297;2.5438;2.5589;2.5653;2.4534;2.3021;2.1657;1.9844;1.8269;3.281;3.2149;3.013;2.8969;2.8354;2.8032;2.7811;2.7758;2.7795;2.7891;2.7953;2.7957;2.7622;2.5908;2.3887;2.2239;1.9462;1.7296
12/01/2023;3.0467;2.923;2.7305;2.6073;2.5351;2.4942;2.4734;2.4703;2.4782;2.4802;2.5137;2.5088;2.5208;2.4318;2.2855;2.1564;1.9544;1.7837;3.2477;3.1722;2.968;2.8433;2.7757;2.7364;2.7147;2.7088;2.7115;2.7195;2.734;2.7349;2.7093;2.5448;2.35;2.1836;1.9027;1.6974
13/01/2023;3.0753;2.9607;2.752;2.6195;2.5377;2.4971;2.4747;2.4724;2.4752;2.4885;2.495;2.517;2.5298;2.4236;2.2838;2.1561;1.9701;1.8151;3.2986;3.2119;2.9958;2.8643;2.7873;2.7505;2.7271;2.7184;2.7189;2.7237;2.7329;2.7349;2.71;2.5599;2.3646;2.1967;1.9371;1.7213
16/01/2023;3.0682;2.9405;2.7114;2.5807;2.5104;2.4658;2.445;2.4442;2.4586;2.4726;2.4867;2.5034;2.5155;2.416;2.2776;2.149;1.9708;1.8279;3.2829;3.1899;2.9722;2.8457;2.7812;2.7438;2.7203;2.7166;2.7189;2.726;2.7313;2.7345;2.7078;2.5626;2.3583;2.1973;1.9491;1.74
