Ticker,Coupon,Maturity,Yield
SPGB,0,31/01/2025,2.784618163
SPGB,1.6,30/04/2025,2.80618036
SPGB,0,31/05/2025,2.752861225
SPGB,4.65,30/07/2025,2.594165125
SPGB,2.15,31/10/2025,2.511585373
SPGB,0,31/01/2026,2.527700707
SPGB,1.95,30/04/2026,2.439254342
SPGB,2.8,31/05/2026,2.514899798
SPGB,5.9,30/07/2026,2.461183509
SPGB,1.3,31/10/2026,2.450647109
SPGB,0,31/01/2027,2.512813041
SPGB,1.5,30/04/2027,2.504135786
SPGB,2.5,31/05/2027,2.562803426
SPGB,0.8,30/07/2027,2.554357039
SPGB,1.45,31/10/2027,2.558941507
SPGB,0,31/01/2028,2.599038313
SPGB,1.4,30/04/2028,2.591264666
SPGB,1.4,30/07/2028,2.615592213
SPGB,5.15,31/10/2028,2.649769
SPGB,6,31/01/2029,2.635243248
SPGB,1.45,30/04/2029,2.691068048
SPGB,3.5,31/05/2029,2.723728838
SPGB,0.8,30/07/2029,2.739287912
SPGB,0.6,31/10/2029,2.751056063
SPGB,2.7,31/01/2030,2.788070277
SPGB,0.5,30/04/2030,2.7796184
SPGB,1.95,30/07/2030,2.797718491
SPGB,1.25,31/10/2030,2.838101811
SPGB,0.1,30/04/2031,2.867115743
SPGB,3.1,30/07/2031,2.920044697
SPGB,0.5,31/10/2031,2.912533117
SPGB,0.7,30/04/2032,2.959792461
SPGB,5.75,30/07/2032,2.96224341
SPGB,2.55,31/10/2032,3.01589382
SPGB,3.15,30/04/2033,3.071143403
SPGB,2.35,30/07/2033,3.084874798
SPGB,3.55,31/10/2033,3.131193688
SPGB,3.25,30/04/2034,3.178974016
SPGB,3.45,31/10/2034,3.223823557
SPGB,1.85,30/07/2035,3.266879967
SPGB,4.2,31/01/2037,3.36225836
SPGB,0.85,30/07/2037,3.450737496
SPGB,3.9,30/07/2039,3.549803881
SPGB,4.9,30/07/2040,3.579130806
SPGB,1.2,31/10/2040,3.611461338
SPGB,4.7,30/07/2041,3.602273262
SPGB,1,30/07/2042,3.630768853
SPGB,3.45,30/07/2043,3.719316761
SPGB,5.15,31/10/2044,3.691786993
SPGB,2.9,31/10/2046,3.718377056
SPGB,2.7,31/10/2048,3.752353989
SPGB,1,31/10/2050,3.753934556
SPGB,1.9,31/10/2052,3.816083075
SPGB,4,31/10/2054,3.894599684
SPGB,4,31/10/2064,3.70380015
SPGB,3.45,30/07/2066,3.909006499
SPGB,1.45,31/10/2071,3.797641998
