Dates,SPGB 0 1/31/2025 Govt,SPGB 1.6 4/30/2025 Govt,SPGB 0 5/31/2025 Govt,SPGB 4.65 7/30/2025 Govt,SPGB 2.15 10/31/2025 Govt,SPGB 0 1/31/2026 Govt,SPGB 1.95 4/30/2026 Govt,SPGB 2.8 5/31/2026 Govt,SPGB 5.9 7/30/2026 Govt,SPGB 1.3 10/31/2026 Govt,SPGB 0 1/31/2027 Govt,SPGB 1.5 4/30/2027 Govt,SPGB 2.5 5/31/2027 Govt,SPGB 0.8 7/30/2027 Govt,SPGB 1.45 10/31/2027 Govt,SPGB 0 1/31/2028 Govt,SPGB 1.4 4/30/2028 Govt,SPGB 1.4 7/30/2028 Govt,SPGB 5.15 10/31/2028 Govt,SPGB 6 1/31/2029 Govt,SPGB 1.45 4/30/2029 Govt,SPGB 3.5 5/31/2029 Govt,SPGB 0.8 7/30/2029 Govt,SPGB 0.6 10/31/2029 Govt,SPGB 2.7 1/31/2030 Govt,SPGB 0.5 4/30/2030 Govt,SPGB 1.95 7/30/2030 Govt,SPGB 1.25 10/31/2030 Govt,SPGB 0.1 4/30/2031 Govt,SPGB 3.1 7/30/2031 Govt,SPGB 0.5 10/31/2031 Govt,SPGB 0.7 4/30/2032 Govt,SPGB 5.75 7/30/2032 Govt,SPGB 2.55 10/31/2032 Govt,SPGB 3.15 4/30/2033 Govt,SPGB 2.35 7/30/2033 Govt,SPGB 3.55 10/31/2033 Govt,SPGB 3.25 4/30/2034 Govt,SPGB 3.45 10/31/2034 Govt,SPGB 1.85 7/30/2035 Govt,SPGB 4.2 1/31/2037 Govt,SPGB 0.85 7/30/2037 Govt,SPGB 3.9 7/30/2039 Govt,SPGB 4.9 7/30/2040 Govt,SPGB 1.2 10/31/2040 Govt,SPGB 4.7 7/30/2041 Govt,SPGB 1 7/30/2042 Govt,SPGB 3.45 7/30/2043 Govt,SPGB 5.15 10/31/2044 Govt,SPGB 2.9 10/31/2046 Govt,SPGB 2.7 10/31/2048 Govt,SPGB 1 10/31/2050 Govt,SPGB 1.9 10/31/2052 Govt,SPGB 4 10/31/2054 Govt,SPGB 4 10/31/2064 Govt,SPGB 3.45 7/30/2066 Govt,SPGB 1.45 10/31/2071 Govt
02/10/2023,3.672,3.594,3.591,3.541,3.472,3.506,3.484,3.517,3.512,3.477,3.503,3.49,#N/A N/A,3.512,3.51,3.516,3.518,3.528,3.548,3.552,3.576,3.625,3.617,3.619,#N/A N/A,3.656,3.676,3.707,3.752,#N/A N/A,3.791,3.83,3.827,3.887,3.942,3.945,3.993,#N/A N/A,#N/A N/A,4.093,4.183,4.255,4.367,4.385,4.403,4.398,4.425,4.488,4.452,4.48,4.511,4.49,4.584,#N/A N/A,4.321,4.628,4.519
03/10/2023,3.67,3.587,3.597,3.547,3.476,3.511,3.49,3.525,3.525,3.492,3.519,3.512,#N/A N/A,3.539,3.538,3.55,3.55,3.564,3.586,3.593,3.623,3.673,3.662,3.667,#N/A N/A,3.709,3.732,3.765,3.814,#N/A N/A,3.856,3.902,3.897,3.959,4.016,4.022,4.066,#N/A N/A,#N/A N/A,4.169,4.263,4.337,4.456,4.475,4.503,4.493,4.528,4.591,4.555,4.582,4.617,4.601,4.691,#N/A N/A,4.555,4.734,4.623
04/10/2023,3.641,3.554,3.552,3.503,3.437,3.472,3.451,3.492,3.484,3.459,3.495,3.481,#N/A N/A,3.496,3.493,3.507,3.505,3.526,3.545,3.548,3.576,3.637,3.615,3.619,#N/A N/A,3.661,3.685,3.716,3.766,#N/A N/A,3.803,3.85,3.841,3.907,3.961,3.966,4.013,#N/A N/A,#N/A N/A,4.121,4.209,4.282,4.397,4.413,4.434,4.426,4.452,4.519,4.482,4.509,4.538,4.519,4.61,#N/A N/A,4.555,4.655,4.547
05/10/2023,3.635,3.545,3.537,3.49,3.42,3.453,3.432,3.473,3.463,3.433,3.467,3.457,#N/A N/A,3.473,3.471,3.48,3.483,3.498,3.522,3.528,3.556,3.607,3.598,3.602,#N/A N/A,3.645,3.671,3.702,3.752,#N/A N/A,3.794,3.833,3.827,3.887,3.944,3.951,3.998,#N/A N/A,#N/A N/A,4.114,4.208,4.283,4.397,4.416,4.442,4.431,4.458,4.524,4.489,4.518,4.549,4.539,4.629,#N/A N/A,4.555,4.672,4.569
06/10/2023,3.645,3.544,3.532,3.482,3.412,3.443,3.423,3.466,3.456,3.433,3.47,3.458,#N/A N/A,3.475,3.467,3.48,3.48,3.496,3.521,3.527,3.556,3.607,3.6,3.605,#N/A N/A,3.648,3.675,3.707,3.756,#N/A N/A,3.796,3.839,3.832,3.893,3.95,3.957,4.004,#N/A N/A,#N/A N/A,4.12,4.213,4.29,4.401,4.419,4.445,4.429,4.456,4.523,4.489,4.516,4.546,4.531,4.623,#N/A N/A,4.555,4.676,4.572
09/10/2023,3.565,3.475,3.466,3.42,3.346,3.38,3.358,3.399,3.389,3.358,3.392,3.379,#N/A N/A,3.394,3.385,3.396,3.401,3.417,3.441,3.445,3.476,3.53,3.52,3.525,#N/A N/A,3.567,3.591,3.622,3.671,#N/A N/A,3.711,3.755,3.746,3.811,3.869,3.873,3.921,#N/A N/A,#N/A N/A,4.042,4.141,4.218,4.33,4.351,4.374,4.361,4.385,4.457,4.424,4.451,4.484,4.467,4.561,#N/A N/A,4.47,4.608,4.497
10/10/2023,3.557,3.467,3.452,3.405,3.324,3.36,3.342,3.385,3.373,3.34,3.372,3.358,#N/A N/A,3.371,3.359,3.369,3.375,3.388,3.412,3.414,3.441,3.502,3.487,3.49,#N/A N/A,3.532,3.555,3.584,3.627,#N/A N/A,3.667,3.713,3.7,3.769,3.825,3.827,3.877,#N/A N/A,#N/A N/A,3.997,4.097,4.175,4.286,4.308,4.325,4.316,4.339,4.412,4.377,4.403,4.432,4.415,4.507,#N/A N/A,4.47,4.557,4.447
11/10/2023,3.575,3.483,3.481,3.422,3.339,3.371,3.351,3.393,3.382,3.34,3.37,3.355,#N/A N/A,3.367,3.356,3.37,3.367,3.382,3.403,3.395,3.42,3.481,3.464,3.462,#N/A N/A,3.499,3.518,3.541,3.58,#N/A N/A,3.614,3.655,3.642,3.707,3.758,3.763,3.81,#N/A N/A,#N/A N/A,3.925,4.021,4.087,4.2,4.216,4.232,4.224,4.24,4.312,4.277,4.298,4.325,4.3,4.393,#N/A N/A,4.47,4.448,4.336
12/10/2023,3.617,3.536,3.542,3.492,3.415,3.448,3.43,3.469,3.454,3.413,3.442,3.428,#N/A N/A,3.44,3.431,3.439,3.441,3.451,3.473,3.474,3.499,3.552,3.537,3.538,#N/A N/A,3.573,3.597,3.622,3.654,#N/A N/A,3.691,3.732,3.721,3.788,3.843,3.847,3.895,#N/A N/A,#N/A N/A,4.003,4.095,4.16,4.276,4.289,4.304,4.298,4.311,4.385,4.352,4.373,4.397,4.373,4.467,#N/A N/A,4.47,4.523,4.416
13/10/2023,3.605,3.536,3.542,3.484,3.408,3.438,3.419,3.458,3.444,3.403,3.433,3.416,#N/A N/A,3.429,3.421,3.429,3.43,3.441,3.463,3.465,3.493,3.546,3.531,3.529,#N/A N/A,3.564,3.587,3.611,3.644,#N/A N/A,3.682,3.72,3.709,3.773,3.826,3.83,3.876,#N/A N/A,#N/A N/A,3.992,4.082,4.146,4.262,4.276,4.288,4.283,4.295,4.368,4.337,4.358,4.383,4.357,4.452,#N/A N/A,4.345,4.498,4.38
